"","A0","A1","A2","A4","A5","A6","A7","A8","A9","A10","A11","A12","B0","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B12","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C12","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
"isogroup36657",1.32038311215012,1.04778614463063,2.96554732364199,2.36290619957931,3.01578130221016,3.52416755323396,2.40545492773825,3.15982392505645,4.3202124741689,4.74231084690894,3.9120556096395,4.09045171790452,1.47689015496503,1.16708696021801,2.95907859548362,2.36661588399969,3.42909792579701,2.97049326012313,2.88390501207141,4.68781553720103,2.98573369384507,3.85587231957788,4.5655880870873,3.2914480324749,1.48064914251528,1.14833820731142,2.46670993328055,2.96281477009287,3.23496878382229,3.10410550077977,4.05358675710159,4.11500445674858,3.38152259158583,2.22766021005546,3.26637923920078,2.42139632991046,1.52011086571509,1.56053204847292,2.34848425992997,2.51699874741053,3.18369720673073,2.68659046309561,2.71926957947164,3.98598321426267,3.76822697860492,2.09636669128838,3.21868573451187,3.44705194787468
"isogroup5168",0.951046549192045,0.696252368841232,1.96949925766761,1.92725606031748,2.01270402508018,2.19438356612814,3.12075619370181,2.58091571736949,3.70795902344217,2.94480883738276,3.16906926830113,3.33272120696061,1.0953995925883,1.41347752688343,1.61520156263791,1.6421908548692,1.63220706304892,2.82786228714126,1.96011969768417,2.45527995588641,2.05711178606076,2.91437071696759,2.73924953717503,3.66039103747063,1.09884705976719,0.79069411624809,1.78247172270628,2.31259487080944,2.04667689877108,2.36761179361897,2.26097677743112,2.92379179883514,2.25940634983375,2.59298546058607,2.49672433099454,3.9013303572514,1.55428793692566,1.64409142817426,1.2140384763825,2.80698636179522,2.30712717916612,2.29942218399332,2.45002568237278,2.48219195071174,3.06025377898474,2.82657853886544,2.34370622781144,3.20771537883848
"isogroup4505",6.52857330057033,6.7304402046762,6.32068203729796,6.20251828448849,6.34191333555154,6.24533977190417,6.38451576300445,6.43501710751908,6.08252436393524,6.25110468673689,5.83870724113331,5.84234856623986,6.90154240297513,6.82498976587185,6.48569339226709,6.51102768823828,6.24991546795903,6.20239135858857,6.02825763286402,5.72714894698621,6.26868649902606,5.84357230314637,6.06719797525272,6.09395545546997,6.74619476639055,6.7050675420388,6.40710438747246,6.50576949946563,6.39066593635415,6.18339566147626,6.12041121612495,6.04516025234038,6.10447133529438,5.93809524809516,6.36391661076982,6.21207112328726,6.8397604782059,6.98318024125367,6.53862690748591,6.51014230263758,6.2695870673276,6.05319503862709,6.29336394648726,6.28522489657558,5.96994764146892,6.21315287015126,5.78916375834945,5.97411406841206
"isogroup4367",2.71778879196792,2.34282823858172,3.71657907588549,4.68829896010283,5.10893629888632,4.46621682787959,5.0847998480086,4.19669051887498,4.26421892193679,4.2791023667794,4.52684335401809,4.87460268666926,2.9419503500587,2.33491179263323,4.2201084484982,4.72681203268181,4.34245018673945,4.71760475492992,4.85980015989339,3.87258147908635,4.14767258192169,4.40012828327529,4.58873854272001,4.41907426096289,2.21618732262958,2.11439329642253,3.83616158130857,4.55953209924964,3.77614836826758,4.75787939104635,4.92176959076588,4.99463775725371,4.7528666856302,5.00158879590787,4.62115765390525,4.72038705795751,2.80121398420824,2.34388770026271,3.89960698805967,3.89369580468432,4.0904720364475,4.9563488963206,4.70921189536101,4.31576730137222,4.61775707773608,4.09676021906006,4.43088005311699,5.07711703132964
"isogroup2403",7.42446040022453,6.66439976569298,6.5760584945271,6.67471560015001,6.70290028965209,6.60374581958546,6.66786083339893,6.79242911804013,6.65229353857565,6.9088543703792,6.829471574535,6.63005423214706,7.53733298216788,6.6262183810571,6.66094177155246,6.6478900372897,6.34626655382264,6.65419768377025,6.6780344316835,6.61374085132982,6.67271372573069,6.91120115524166,6.80193020494426,6.64160839492697,7.47795668706187,6.76712356764899,6.68770817670893,6.58539246611878,6.71115381612663,6.61819586073575,6.53483394850218,6.70949588690972,6.50578669548714,6.50248496508764,6.4581401518594,6.7470371765676,7.50375884592033,6.92956855104371,6.62451409764261,6.87736012928868,6.46544451539931,6.72797000936926,6.76320388834975,6.44989179511026,6.64721408169911,6.91233668429027,6.46185851114952,6.69367687007358
"isogroup11480",4.96822946747205,5.6886542223994,5.90996088915761,5.91379990763645,5.79640648650716,6.35844614452346,5.84144607045825,6.13207612770666,5.08701413221395,5.86989053780457,5.9645065944152,5.82837414726068,5.25236812255809,5.86191789478328,5.88026838175974,5.87708763556337,6.05400171762663,5.94569179240031,6.40498536814923,6.16462198354488,5.96467547446018,6.14251758899224,6.06873980941026,6.03783873116663,5.05752414168836,5.51205749305133,6.18666595850524,5.78747102996013,6.21419453721142,5.72292754931657,6.38363271957836,5.99922438936363,6.12195962433604,5.61252936332347,6.09717924559891,6.06168250914121,5.21497812695861,5.77463133301189,6.04148129997846,5.69702254459893,6.23857758689676,5.56059244516098,5.92735971315603,5.88504805988545,6.18539654365348,5.78908544736403,5.98701204677072,5.66855665027657
"isogroup37014",4.79473349064088,4.60963422900449,5.50504725857815,5.8453196822264,4.80745005603266,6.41307274834015,6.55633575124754,5.30096085480035,6.06157191264171,6.2432991128093,6.04570225398336,6.17205554116353,5.16278390913066,4.77603048763352,5.55557634851705,5.95391561563931,5.57984131851043,5.39249604797705,5.7534522248316,6.34977200174081,5.7961224133317,5.57724201104304,6.21274977614987,6.17064719206371,4.82688516976117,4.76951566632487,5.22588790347693,4.80670426216249,5.07927072809254,5.40681603856023,5.34878921337262,6.04089822515091,4.23803576254207,5.17068527563244,5.44284580570722,5.63735777957729,5.0419380708056,4.15666850415201,5.43360951324807,5.85407452287468,6.14780524289814,5.27756471274281,5.08521115138991,5.50816696923653,5.35369999596621,5.60157449013422,5.89973544880451,5.52442461109425
"isogroup16395",3.00611604009177,2.55181546809518,5.40596057939206,6.52333499343152,7.03303489126157,6.49530921800391,5.94289482169222,5.86142883602894,6.16117743350683,4.64832295226876,4.95253817363349,4.71506162166889,3.18425149887564,2.65779260462834,5.3665256351823,7.2498433418407,6.58239599042412,7.0050190807124,5.73323951729096,5.78456286207536,5.56511474900916,5.66441436960944,5.0306794692759,5.31666236215007,3.18864960390816,2.82101602010996,4.6673224434952,6.91607866435799,6.57369015135118,6.88351218090676,6.48743473393742,6.04562245304296,5.55939363462107,5.62068444155328,4.85614648216424,5.17630469409908,3.59779319399944,2.55249776412063,4.79877257307241,7.11049456707248,6.71010381920542,7.25017658544135,6.43707376217854,6.20217839197258,5.70159731675495,5.96248988106556,4.48739019627054,5.80727737147642
"isogroup705",7.15716892595773,6.59834665631294,5.58341483068085,5.89720512723416,5.50775596435667,5.45755599130275,5.84691668512779,5.54295273871253,6.16588649133832,5.74801584910101,5.97301203660497,6.46415167132357,7.29975661874591,6.65671451599472,5.83299724521617,6.00962631024237,5.90443499681083,5.81430568052831,5.57901842369454,6.13788580368729,5.73715691259926,5.46987086206551,5.48198622638262,5.68043192501554,7.32697040009584,6.57362734661343,5.47295586917007,5.79722964211417,5.90446046800631,6.03944773046576,5.49398486092157,6.04840452661398,5.19054827065889,5.78014713818054,5.21053199933837,6.00097345738101,7.6388253412446,6.26445698594007,5.62505857818728,6.18218538131499,6.19561968703419,5.88202648966576,5.27543003405352,5.88714426629862,5.33843132014813,5.13458300129453,5.78464770617757,5.93803519953634
"isogroup1930",4.86436379333127,3.7363100892202,3.84208223851383,4.17674524555081,4.41181626090845,4.83840931815663,4.11952051860674,4.64910611435456,4.7014458201545,4.78963509863482,4.47956070882979,4.32001812421162,5.53341704238774,3.43848656269804,3.9318505409391,4.01360179222441,4.30899687770169,4.68534995012968,4.38069696856667,4.46065296099198,4.46680870847295,4.07741732590274,4.70870833839447,4.88564457750903,5.40418204674389,2.73217713090931,3.31795452702547,3.81398767261653,4.22030186830129,4.79188785031492,4.28153450145679,4.35592786968483,4.90091089338448,4.38991129974784,4.62799893063257,4.43894180823677,5.55860809669432,3.16545604333147,3.80609500361535,4.06369421249511,3.89270769137882,4.19707080204826,4.68865201295594,4.38325760759197,4.62306074784119,4.43996760714706,4.49690407320613,4.92239495142158
